week,facebook
2016-06-05,76
2016-06-12,87
2016-06-19,85
2016-06-26,83
2016-07-03,85
2016-07-10,83
2016-07-17,84
2016-07-24,89
2016-07-31,82
2016-08-07,80
2016-08-14,83
2016-08-21,81
2016-08-28,77
2016-09-04,78
2016-09-11,81
2016-09-18,76
2016-09-25,75
2016-10-02,82
2016-10-09,81
2016-10-16,85
2016-10-23,82
2016-10-30,82
2016-11-06,76
2016-11-13,82
2016-11-20,78
2016-11-27,80
2016-12-04,76
2016-12-11,78
2016-12-18,75
2016-12-25,87
2017-01-01,80
2017-01-08,82
2017-01-15,81
2017-01-22,83
2017-01-29,81
2017-02-05,86
2017-02-12,83
2017-02-19,82
2017-02-26,84
2017-03-05,75
2017-03-12,80
2017-03-19,80
2017-03-26,84
2017-04-02,83
2017-04-09,82
2017-04-16,80
2017-04-23,89
2017-04-30,91
2017-05-07,93
2017-05-14,88
2017-05-21,88
2017-05-28,91
2017-06-04,85
2017-06-11,84
2017-06-18,92
2017-06-25,91
2017-07-02,80
2017-07-09,83
2017-07-16,81
2017-07-23,85
2017-07-30,80
2017-08-06,91
2017-08-13,91
2017-08-20,99
2017-08-27,90
2017-09-03,92
2017-09-10,100
2017-09-17,98
2017-09-24,90
2017-10-01,99
2017-10-08,86
2017-10-15,85
2017-10-22,87
2017-10-29,88
2017-11-05,84
2017-11-12,86
2017-11-19,88
2017-11-26,82
2017-12-03,86
2017-12-10,75
2017-12-17,71
2017-12-24,80
2017-12-31,74
2018-01-07,77
2018-01-14,71
2018-01-21,80
2018-01-28,76
2018-02-04,80
2018-02-11,79
2018-02-18,76
2018-02-25,80
2018-03-04,78
2018-03-11,78
2018-03-18,83
2018-03-25,94
2018-04-01,90
2018-04-08,87
2018-04-15,83
2018-04-22,83
2018-04-29,80
2018-05-06,80
2018-05-13,73
2018-05-20,80
2018-05-27,77
2018-06-03,86
2018-06-10,81
2018-06-17,74
2018-06-24,82
2018-07-01,72
2018-07-08,71
2018-07-15,63
2018-07-22,69
2018-07-29,73
2018-08-05,61
2018-08-12,64
2018-08-19,59
2018-08-26,59
2018-09-02,56
2018-09-09,65
2018-09-16,65
2018-09-23,66
2018-09-30,62
2018-10-07,58
2018-10-14,64
2018-10-21,62
2018-10-28,61
2018-11-04,57
2018-11-11,59
2018-11-18,62
2018-11-25,57
2018-12-02,55
2018-12-09,59
2018-12-16,58
2018-12-23,59
2018-12-30,57
2019-01-06,59
2019-01-13,55
2019-01-20,55
2019-01-27,57
2019-02-03,53
2019-02-10,50
2019-02-17,54
2019-02-24,52
2019-03-03,47
2019-03-10,50
2019-03-17,50
2019-03-24,52
2019-03-31,52
2019-04-07,52
2019-04-14,57
2019-04-21,54
2019-04-28,48
2019-05-05,54
2019-05-12,51
2019-05-19,55
2019-05-26,51
2019-06-02,50
2019-06-09,56
2019-06-16,56
2019-06-23,55
2019-06-30,52
2019-07-07,51
2019-07-14,48
2019-07-21,57
2019-07-28,50
2019-08-04,50
2019-08-11,50
2019-08-18,53
2019-08-25,53
2019-09-01,51
2019-09-08,57
2019-09-15,53
2019-09-22,52
2019-09-29,49
2019-10-06,49
2019-10-13,49
2019-10-20,50
2019-10-27,47
2019-11-03,50
2019-11-10,51
2019-11-17,49
2019-11-24,49
2019-12-01,46
2019-12-08,46
2019-12-15,45
2019-12-22,50
2019-12-29,44
2020-01-05,44
2020-01-12,45
2020-01-19,45
2020-01-26,46
2020-02-02,47
2020-02-09,48
2020-02-16,49
2020-02-23,51
2020-03-01,53
2020-03-08,49
2020-03-15,51
2020-03-22,49
2020-03-29,48
2020-04-05,50
2020-04-12,52
2020-04-19,51
2020-04-26,53
2020-05-03,53
2020-05-10,49
2020-05-17,50
2020-05-24,50
2020-05-31,49
2020-06-07,49
2020-06-14,52
2020-06-21,51
2020-06-28,55
2020-07-05,54
2020-07-12,58
2020-07-19,55
2020-07-26,55
2020-08-02,49
2020-08-09,53
2020-08-16,52
2020-08-23,53
2020-08-30,58
2020-09-06,52
2020-09-13,52
2020-09-20,52
2020-09-27,52
2020-10-04,48
2020-10-11,50
2020-10-18,51
2020-10-25,51
2020-11-01,46
2020-11-08,50
2020-11-15,52
2020-11-22,55
2020-11-29,51
2020-12-06,53
2020-12-13,53
2020-12-20,50
2020-12-27,51
2021-01-03,49
2021-01-10,46
2021-01-17,44
2021-01-24,47
2021-01-31,46
2021-02-07,45
2021-02-14,44
2021-02-21,43
2021-02-28,39
2021-03-07,38
2021-03-14,37
2021-03-21,35
2021-03-28,39
2021-04-04,37
2021-04-11,36
2021-04-18,37
2021-04-25,35
2021-05-02,37
2021-05-09,38
2021-05-16,32
2021-05-23,34
2021-05-30,41
