week,instagram
2016-06-05,40
2016-06-12,48
2016-06-19,47
2016-06-26,50
2016-07-03,48
2016-07-10,50
2016-07-17,47
2016-07-24,52
2016-07-31,49
2016-08-07,54
2016-08-14,60
2016-08-21,57
2016-08-28,53
2016-09-04,52
2016-09-11,52
2016-09-18,46
2016-09-25,45
2016-10-02,46
2016-10-09,51
2016-10-16,51
2016-10-23,53
2016-10-30,48
2016-11-06,54
2016-11-13,49
2016-11-20,49
2016-11-27,47
2016-12-04,53
2016-12-11,49
2016-12-18,50
2016-12-25,53
2017-01-01,59
2017-01-08,64
2017-01-15,56
2017-01-22,58
2017-01-29,55
2017-02-05,58
2017-02-12,53
2017-02-19,56
2017-02-26,53
2017-03-05,57
2017-03-12,66
2017-03-19,56
2017-03-26,63
2017-04-02,60
2017-04-09,57
2017-04-16,53
2017-04-23,64
2017-04-30,64
2017-05-07,58
2017-05-14,65
2017-05-21,66
2017-05-28,57
2017-06-04,55
2017-06-11,63
2017-06-18,61
2017-06-25,64
2017-07-02,66
2017-07-09,63
2017-07-16,58
2017-07-23,73
2017-07-30,62
2017-08-06,68
2017-08-13,62
2017-08-20,63
2017-08-27,67
2017-09-03,72
2017-09-10,57
2017-09-17,58
2017-09-24,65
2017-10-01,75
2017-10-08,75
2017-10-15,68
2017-10-22,64
2017-10-29,65
2017-11-05,64
2017-11-12,65
2017-11-19,64
2017-11-26,61
2017-12-03,65
2017-12-10,64
2017-12-17,64
2017-12-24,72
2017-12-31,72
2018-01-07,67
2018-01-14,72
2018-01-21,63
2018-01-28,70
2018-02-04,71
2018-02-11,78
2018-02-18,72
2018-02-25,71
2018-03-04,76
2018-03-11,69
2018-03-18,68
2018-03-25,78
2018-04-01,77
2018-04-08,71
2018-04-15,81
2018-04-22,74
2018-04-29,79
2018-05-06,81
2018-05-13,81
2018-05-20,74
2018-05-27,74
2018-06-03,84
2018-06-10,83
2018-06-17,87
2018-06-24,77
2018-07-01,95
2018-07-08,80
2018-07-15,73
2018-07-22,82
2018-07-29,81
2018-08-05,79
2018-08-12,85
2018-08-19,81
2018-08-26,88
2018-09-02,75
2018-09-09,75
2018-09-16,72
2018-09-23,73
2018-09-30,80
2018-10-07,81
2018-10-14,71
2018-10-21,72
2018-10-28,79
2018-11-04,74
2018-11-11,86
2018-11-18,85
2018-11-25,78
2018-12-02,66
2018-12-09,74
2018-12-16,78
2018-12-23,71
2018-12-30,79
2019-01-06,75
2019-01-13,71
2019-01-20,75
2019-01-27,87
2019-02-03,83
2019-02-10,74
2019-02-17,79
2019-02-24,78
2019-03-03,75
2019-03-10,80
2019-03-17,75
2019-03-24,85
2019-03-31,74
2019-04-07,77
2019-04-14,87
2019-04-21,81
2019-04-28,76
2019-05-05,76
2019-05-12,76
2019-05-19,77
2019-05-26,75
2019-06-02,86
2019-06-09,74
2019-06-16,85
2019-06-23,85
2019-06-30,94
2019-07-07,87
2019-07-14,82
2019-07-21,89
2019-07-28,83
2019-08-04,82
2019-08-11,78
2019-08-18,100
2019-08-25,84
2019-09-01,71
2019-09-08,88
2019-09-15,86
2019-09-22,76
2019-09-29,96
2019-10-06,93
2019-10-13,89
2019-10-20,87
2019-10-27,86
2019-11-03,74
2019-11-10,75
2019-11-17,72
2019-11-24,77
2019-12-01,73
2019-12-08,73
2019-12-15,67
2019-12-22,74
2019-12-29,79
2020-01-05,77
2020-01-12,75
2020-01-19,78
2020-01-26,67
2020-02-02,74
2020-02-09,74
2020-02-16,76
2020-02-23,76
2020-03-01,76
2020-03-08,78
2020-03-15,68
2020-03-22,91
2020-03-29,83
2020-04-05,80
2020-04-12,77
2020-04-19,82
2020-04-26,76
2020-05-03,80
2020-05-10,77
2020-05-17,79
2020-05-24,83
2020-05-31,93
2020-06-07,85
2020-06-14,84
2020-06-21,83
2020-06-28,86
2020-07-05,87
2020-07-12,90
2020-07-19,98
2020-07-26,98
2020-08-02,96
2020-08-09,95
2020-08-16,96
2020-08-23,89
2020-08-30,95
2020-09-06,89
2020-09-13,90
2020-09-20,90
2020-09-27,84
2020-10-04,83
2020-10-11,87
2020-10-18,90
2020-10-25,79
2020-11-01,90
2020-11-08,86
2020-11-15,85
2020-11-22,84
2020-11-29,86
2020-12-06,76
2020-12-13,81
2020-12-20,80
2020-12-27,80
2021-01-03,80
2021-01-10,80
2021-01-17,80
2021-01-24,86
2021-01-31,80
2021-02-07,79
2021-02-14,80
2021-02-21,72
2021-02-28,71
2021-03-07,76
2021-03-14,74
2021-03-21,81
2021-03-28,82
2021-04-04,80
2021-04-11,86
2021-04-18,86
2021-04-25,89
2021-05-02,83
2021-05-09,84
2021-05-16,82
2021-05-23,85
2021-05-30,82
